id,raw_id,review_text,rating,review_date,product_name,dedup_key,cleaned_at,sentiment,sentiment_score,analyzed_at
14,14,고객센터 응대가 친절했어요 교환도 빠르게 해주셨습니다,4.0,2024-01-16,욕실 틈새 청소솔,고객센터 응대가 친절했어요 교환도 빠르게 해주셨습니다||2024-01-16||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.9,2026-08-21T14:54:02.937683
15,15,제품 불량입니다 솔모가 다 빠져있어요,1.0,2024-01-17,욕실 틈새 청소솔,제품 불량입니다 솔모가 다 빠져있어요||2024-01-17||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,negative,0.9,2026-08-21T14:54:03.863519
16,16,욕실 청소가 훨씬 수월해졌어요 강력 추천합니다,5.0,2024-01-18,욕실 틈새 청소솔,욕실 청소가 훨씬 수월해졌어요 강력 추천합니다||2024-01-18||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.9,2026-08-21T14:54:04.548567
17,17,별 기대 안했는데 생각보다 쓸만하네요,4.0,2024-01-19,욕실 틈새 청소솔,별 기대 안했는데 생각보다 쓸만하네요||2024-01-19||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.8,2026-08-21T14:54:05.410206
18,18,틈새 부분 커브가 잘 맞아서 편해요,4.0,2024-01-20,욕실 틈새 청소솔,틈새 부분 커브가 잘 맞아서 편해요||2024-01-20||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.9,2026-08-21T14:54:06.149664
19,19,곰팡이가 다시 생기는 걸 보니 효과가 오래가진 않는 듯해요,3.0,2024-01-21,욕실 틈새 청소솔,곰팡이가 다시 생기는 걸 보니 효과가 오래가진 않는 듯해요||2024-01-21||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,negative,0.8,2026-08-21T14:54:06.916731
20,20,재구매했어요 항상 만족하며 쓰고 있습니다,5.0,2024-01-22,욕실 틈새 청소솔,재구매했어요 항상 만족하며 쓰고 있습니다||2024-01-22||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.95,2026-08-21T14:54:07.705637
21,21,배송 지연되고 연락도 안돼서 답답했어요,1.0,2024-01-23,욕실 틈새 청소솔,배송 지연되고 연락도 안돼서 답답했어요||2024-01-23||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,negative,0.9,2026-08-21T14:54:08.388510
22,22,품질이 기대 이하입니다 실망했어요,1.0,2024-01-23,욕실 틈새 청소솔,품질이 기대 이하입니다 실망했어요||2024-01-23||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,negative,0.9,2026-08-21T14:54:09.108924
23,23,고객센터 연결이 안됩니다 화가 나네요,1.0,2024-01-24,욕실 틈새 청소솔,고객센터 연결이 안됩니다 화가 나네요||2024-01-24||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,negative,0.9,2026-08-21T14:54:10.027210
24,24,이 가격에 이 정도면 훌륭하죠,4.0,2024-01-24,욕실 틈새 청소솔,이 가격에 이 정도면 훌륭하죠||2024-01-24||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.9,2026-08-21T14:54:10.697363
25,25,솔대가 휘어져서 왔어요 불량인 것 같습니다,1.0,2024-01-24,욕실 틈새 청소솔,솔대가 휘어져서 왔어요 불량인 것 같습니다||2024-01-24||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,negative,0.9,2026-08-21T14:54:11.429523
26,26,세면대 배수구 청소할 때도 유용해요,4.0,2024-01-25,욕실 틈새 청소솔,세면대 배수구 청소할 때도 유용해요||2024-01-25||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.9,2026-08-21T14:54:12.225187
27,27,배송 늦고 제품도 별로에요 두번 다시 안삽니다,1.0,2024-01-25,욕실 틈새 청소솔,배송 늦고 제품도 별로에요 두번 다시 안삽니다||2024-01-25||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,negative,0.9,2026-08-21T14:54:12.978646
28,28,손목에 무리가 안가서 좋아요 어르신 선물용으로 샀어요,5.0,2024-01-25,욕실 틈새 청소솔,손목에 무리가 안가서 좋아요 어르신 선물용으로 샀어요||2024-01-25||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.8,2026-08-21T14:54:13.734028
29,29,평범합니다 특별한 감흥은 없어요,3.0,2024-01-26,욕실 틈새 청소솔,평범합니다 특별한 감흥은 없어요||2024-01-26||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,neutral,0.5,2026-08-21T14:54:14.358431
30,30,타일 줄눈 청소에 특화된 느낌이라 좋아요,5.0,2024-01-26,욕실 틈새 청소솔,타일 줄눈 청소에 특화된 느낌이라 좋아요||2024-01-26||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.9,2026-08-21T14:54:15.052819
31,31,가격대비 무난한 편입니다,3.0,2024-01-27,욕실 틈새 청소솔,가격대비 무난한 편입니다||2024-01-27||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,neutral,0.5,2026-08-21T14:54:15.991844
32,32,곰팡이 제거력은 좋은데 냄새가 좀 나요,3.0,2024-01-27,욕실 틈새 청소솔,곰팡이 제거력은 좋은데 냄새가 좀 나요||2024-01-27||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,neutral,0.5,2026-08-21T14:54:16.699765
33,33,환불 요청했는데 처리가 너무 느립니다,1.0,2024-01-28,욕실 틈새 청소솔,환불 요청했는데 처리가 너무 느립니다||2024-01-28||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,negative,0.9,2026-08-21T14:54:17.522519
34,34,만족스러운 구매였습니다 감사합니다,5.0,2024-01-28,욕실 틈새 청소솔,만족스러운 구매였습니다 감사합니다||2024-01-28||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.95,2026-08-21T14:54:18.158437
35,39,솔모가 촘촘하고 튼튼해서 오래 쓸 수 있을 것 같습니다 매우 만족,,2024-01-19,욕실 틈새 청소솔,솔모가 촘촘하고 튼튼해서 오래 쓸 수 있을 것 같습니다 매우 만족||2024-01-19||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.95,2026-08-21T14:54:18.812340
36,40,배송도 빠르고 제품도 좋아요 다음에도 이용할게요,5.0,,욕실 틈새 청소솔,배송도 빠르고 제품도 좋아요 다음에도 이용할게요||||욕실 틈새 청소솔,2026-08-21T14:53:46.203132,positive,0.95,2026-08-21T14:54:19.576613
